libgpg-error 1.27-1
libgudev 231-1
libgxps 0.2.4+12+g4709da9-1
libice 1.0.9-1
libiconv 1.14-1
libid3tag 0.15.1b-8
libidn 1.33-1
libiec61883 1.2.0-4
libinput 1.7.0-1
libjpeg-turbo 1.5.1-1
libkate 0.4.1-5
libksba 1.3.4-2
liblangtag 0.6.2-1
libldap 2.4.44-3
libmad 0.15.1b-7
libmatroska 1.4.7-1
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.8.5-2
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-5
libmspub 0.1.2-6
libmwaw 0.3.10-1
libnftnl 1.0.7-1
libnl 3.2.29-2
libnotify 0.7.7-1
liboauth 1.0.3+9+g11e9461-1
libodfgen 0.1.6-1
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libpagemaker 0.0.3-1
libpaper 1.1.24-10
libpciaccess 0.13.4-1
libpeas 1.20.0-2
libpipeline 1.4.1-1
libpng 1.6.28-1
libproxy 0.4.13-2
libpsl 0.17.0-1
libpulse 10.0-2
libquvi 0.9.4-4
libquvi-scripts 0.9.20131130-3
libraw1394 2.1.2-1
libreoffice-still 5.2.6-1
librevenge 0.0.4-1
librsvg 2:2.40.16-1
libsamplerate 0.1.9-1
libsasl 2.1.26-8
libseccomp 2.3.2-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsm 1.2.2-2
libsndfile 1.0.27-1
libsoup 2.56.0-1
libsoxr 0.1.2-1
libspectre 0.2.8-1
libssh 0.7.4-2
libssh2 1.8.0-1
libsystemd 232-8
libtar 1.2.20-2
libtasn1 4.10-1
libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.7-2
libtiger 0.3.4-4
libtirpc 1.0.1-2
libtool 2.4.6-7
libtxc_dxtn 1.0.1-6
libunistring 0.9.7-1
libunwind 1.1-3
libupnp 1.6.21-1
libusb 1.0.21-1
libusb-compat 0.1.5-1
libutempter 1.1.6-2
libutil-linux 2.29.2-1
libuv 1.11.0-1
libva 1.7.3-2
libvdpau 1.1.1-2
libvisio 0.1.5-3
libvisual 0.4.0-6
libvorbis 1.3.5-1
libvpx 1.6.1-1
libwacom 0.24-1
libwbclient 4.5.7-1
libwebp 0.5.2-1
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.5-1
libx11 1.6.5-1
libx264 2:148.20170121-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.1-1
libxkbcommon-x11 0.7.1-1
libxkbfile 1.0.9-1
libxml2 2.9.4+12+ge905f081-5
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.29+42+gac341cbd-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
licenses 20140629-1
linux 4.10.6-1
linux-api-headers 4.10.1-1
linux-firmware 20170309.695f2d6-1
lirc 1:0.9.4.d-1
llvm-libs 3.9.1-2
logrotate 3.11.0-1
lpsolve 5.5.2.5-2
lua 5.3.4-1
lua52 5.2.4-2
lua52-bitop 1.0.2-7
lua52-expat 1.3.0-3
lua52-lpeg 1.0.1-1
lua52-luajson 1.3.3-2
lua52-socket 20160311-1
lvm2 2.02.168-1
lz4 1:1.7.5-1
lzo 2.10-1
m4 1.4.18-1
make 4.2.1-1
man-db 2.7.6.1-2
man-pages 4.10-3
mdadm 4.0-1
media-player-info 22-2
mesa 17.0.2-2
mime-types 9-1
minizip 1:1.2.11-1
mkinitcpio 23-1
mkinitcpio-busybox 1.25.1-1
mono 4.8.0.495-1
mozilla-common 1.4-4
mpfr 3.1.5.p2-1
mpg123 1.23.8-1
mplayer 37916-1
mtdev 1.1.5-1
nano 2.7.5-1
ncurses 6.0+20170128-1
neon 0.30.2-1
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
noto-fonts 20170307-2
noto-fonts-cjk 1.004-3
npth 1.3-1
nspr 4.13.1-1
nss 3.29.3-2
opencore-amr 0.1.4-1
openjpeg 1.5.2-1
openjpeg2 2.1.2-2
openresolv 3.9.0-1
openssh 7.4p1-2
openssl 1.0.2.k-1
opus 1.1.4-1
orc 0.4.26-2
p11-kit 0.23.5-1
package-query 1.8-1
pacman 5.0.1-4
pacman-mirrorlist 20170316-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.4-1
patch 2.7.5-1
pciutils 3.5.4-1
pcmciautils 018-7
pcre 8.40-1
perl 5.24.1-1
perl-dbd-sqlite 1.54-1
perl-dbi 1.636-2
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-ipc-system-simple 1.25-1
perl-www-curl 4.17-4
pinentry 1.0.0-1
pixman 0.34.0-1
pkg-config 0.29.1-2
polkit 0.113+29+g3272a98-1
poppler 0.52.0-1
poppler-data 0.4.7-1
poppler-glib 0.52.0-1
popt 1.16-8
procps-ng 3.3.12-1
psmisc 22.21-3
pygobject-devel 3.22.0-2
python 3.6.0-2
python-gobject 3.22.0-2
python2 2.7.13-1
qt4 4.8.7-16
qt5-base 5.8.0-7
qt5-x11extras 5.8.0-1
randrproto 1.5.0-1
raptor 2.0.15-5
rasqal 1:0.9.33-1
re2 20170101-1
readline 7.0.003-1
recode 3.6-9
recordproto 1.14.2-2
redland 1:1.0.17-3
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rhythmbox 3.4.1-3
rsync 3.1.2-2
rtmpdump 1:2.4.r96.fa8646d-2
ruby 2.4.0-1
ruby-atk 3.1.1-1
ruby-cairo 1.15.5-1
ruby-gdk_pixbuf2 3.1.1-1
ruby-gio2 3.1.1-1
ruby-glib2 3.1.1-1
ruby-gobject-introspection 3.1.1-1
ruby-gtk2 3.1.1-1
ruby-httpclient 2.7.1-1
ruby-mini_portile2 2.1.0-11
ruby-moneta 0.8.0-2
ruby-pango 3.1.1-1
ruby-pkg-config 1.1.7-2
run-parts 4.8.1-1
rxvt-unicode 9.22-2
rxvt-unicode-terminfo 9.22-2
s-nail 14.8.16-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
sdl 1.2.15-7
sdl2 2.0.5-3
sdl_image 1.2.12-3
sed 4.4-1
shadow 4.4-3
shared-mime-info 1.8-1
smbclient 4.5.7-1
snappy 1.1.4-1
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.17.0-1
startup-notification 0.12-5
sudo 1.8.19.p2-1
sysfsutils 2.1.0-9
systemd 232-8
systemd-sysvcompat 232-8
t1lib 5.1.2-6
taglib 1.11.1-1
talloc 2.1.9-1
tar 1.29-2
tdb 1.3.12-1
tevent 1:0.9.31-1
texinfo 6.3-1
thin-provisioning-tools 0.6.3-1
thunderbird 45.8.0-1
thunderbird-i18n-ja 45.8.0-1
tmux 2.3-1
totem-plparser 3.10.7+1+gb25e497-1
tslib 1.8-1
tzdata 2017b-1
